	informal	formal
10776	liyatnya	lihatnya
10777	kayahhh	kaya
10778	ala2	ala ala
10779	yook	ayo
10780	siihh	sih
10781	elus2	elus elus
10782	padahl	padahal
10783	kejahatn	kejahatan
10784	slam	salam
10785	ngerendahin	merendahkan
10786	apaalahh	apalah
10787	menyebut2	menyebut nyebut
10788	yoiiu	iya
10789	jdii	jadi
10790	blnja	belanja
10791	brangnya	barangnya
10792	ada2	ada ada
10793	nimpuk	menimpuk
10794	abiss	habis
10795	prlu	perlu
10796	suaranyaa	suaranya
10797	jnagn	jangan
10798	kcwa	kecewa
10799	jaman2	jaman jaman
10800	dket2in	dekat dekati
10801	cobak	coba
10802	britanya	beritanya
10803	tau2	tau tau
10804	mahh	mah
10805	jamam	zaman
10806	paraa	para
10807	seharusny	seharusnya
10808	dasaar	dasar
10809	bergunaa	berguna
10810	kcewa	kecewa
10811	mnusuk	menusuk
10812	blkang	belakang
10813	trmanis	termanis
10814	kaciiaann	kasihan
10815	nyela	menyela
10816	ngejilat	menjilat
10817	deketin	dekati
10818	tayik	tai
10819	halooo	halo
10820	ustzah	ustazah
10821	halow	halo
10822	aduuh	aduh
10823	nyimpen	menyimpan
10824	ngarsipin	mengarsipkan
10825	kngn	kangen
10826	kq	kok
10827	prh	parah
10828	napsuu	nafsu
10829	gmau	enggak mau
10830	luccu	lucu
10831	lahirr	lahir
10832	ceemen	payah
10833	skrnh	sekarang
10834	cerdiik	cerdik
10835	jeniuss	jenius
10836	kurangin	kurangi
10837	kreen	keren
10838	mintk	minta
10839	nyolong	mencuri
10840	rezeqinya	rezekinya
10841	pintr	pintar
10842	dekk	adik
10843	kura2	kura kura
10844	sukkaa	suka
10845	putihh	putih
10846	peduliin	mempedulikan
10847	komntr	komentar
10848	smngat	semangat
10849	dosax	dosanya
10850	pahalax	pahalanya
10851	akhirt	akhirat
10852	tinggalkn	tinggalkan
10853	rumh	rumah
10854	trhtung	terhitung
10855	cerdass	cerdas
10856	tambahh	tambah
10857	polll	pol
10858	ngerespon	merespons
10859	dulurrr	saudara
10860	brusaha	berusaha
10861	lebh	lebih
10862	amin2	amin amin
10863	brhjb	berhijab
10864	mdh2n	mudah mudahan
10865	jlbb	jilbab
10866	dempga	semoga
10867	selmnya	selamanya
10868	tth	mbak
10869	otot2	otot otot
10870	ademm	adem
10871	beginii	begini
10872	cuantek	cantik
10873	iniehh	ini
10874	sayangx	sayangnya
10875	jodohx	jodohnya
10876	kaliaan	kalian
10877	haslnya	hasilnya
10878	kencng	kencang
10879	pmbantu	pembantu
10880	kmbl	kembali
10881	cuchook	cocok
10882	kloop	klop
10883	sempurnaa	sempurna
10884	klihatan	kelihatan
10885	cintax	cintanya
10886	pnuh	penuh
10887	ngrti	mengerti
10888	mantanny	mantannya
10889	jodohny	jodohnya
10890	cantk	cantik
10891	ituuu	itu
10892	kaasian	kasihan
10893	padhl	padahal
10894	pkrin	pikirkan
10895	anakx	anaknya
10896	sia2kan	sia siakan
10897	kreean	keren
10898	berenanh	berenang
10899	pacarr	pacar
10900	bingitss	banget
10901	ngumbar2	mengumbar umbar
10902	romantiss	romantis
10903	cocook	cocok
10904	yaang	yang
10905	bangedt	banget
10906	gde	gede
10907	lutunaaa	lucunya
10908	bikinnn	bikin
10909	lucux	lucunya
10910	ntap	mantap
10911	abgnyaah	abangnya
10912	mungkiin	mungkin
10913	akuhh	aku
10914	manteb	mantap
10915	tebel	tebal
10916	nganggepin	menanggapi
10917	perjabatt	pejabat
10918	makany	makanya
10919	krjaan	pekerjaan
10920	kdang	kadang
10921	knan	kanan
10922	trknal	terkenal
10923	klok	kalo
10924	guw	gue
10925	selaloe	selalu
10926	prhatian	perhatian
10927	hebaat	hebat
10928	ampunn	ampun
10929	liatt	lihat
10930	gehh	gih
10931	jirr	anjir
10932	kayaa	kaya
10933	cempreeng	cempreng
10934	pcran	pacaran
10935	anedh	banget
10936	boro2	boro boro
10937	nyta	nyata
10938	kampungn	kampungan
10939	mnghina	menghina
10940	ngolokin	ejek
10941	dsr	dasar
10942	siriik	sirik
10943	aduuhh	aduh
10944	cemburuu	cemburu
10945	tlog	tolong
10946	sirikk	sirik
10947	dbnding	dibanding
10948	nrka	neraka
10949	s3ndiri	sendiri
10950	bhgiain	bahagiakan
10951	kdua	kedua
10952	prcya	percaya
10953	bhagaia	bahagia
10954	cuco	cocok
10955	mlikk	milik
10956	canci	cantik
10957	aneed	banget
10958	gimanaa	bagaimana
10959	pentingg	penting
10960	krudung	kerudung
10961	oprasiya	operasinya
10962	uwee	gue
10963	itumahh	itumah
10964	berbakiti	berbakti
10965	alhamd	alhamdulillah
10966	slmttt	selamat
10967	ucapin	mengucapkan
10968	tetp	tetap
10969	ditengah2	ditengah tengah
10970	semuanyaa	semuanya
10971	aminn2	amin amin
10972	abs	habis
10973	melahirin	melahirkan
10974	cakeep	cakep
10975	gimn	bagaimana
10976	aamien	amin
10977	lngsing	langsing
10978	smulla	semula
10979	pdhall	padahal
10980	blln	bulan
10981	gtu2	begitu gitu
10982	gataunya	enggak taunya
10983	gtau	enggak tau
10984	fans2	fan fan
10985	gaharus	enggak harus
10986	athoh	atuh
10987	baangg	abang
10988	babangnya	abangnya
10989	abaq	abaqus
10990	abd	abdi
10991	amhp	abdullah makhmud hendropriyono
10992	abgbugil	abg bugil
10993	abgmesum	abg mesum
10994	abu2	abu abu
10995	abubakar	abu bakar
10996	acaraâ bakal	acaranya bakal
10997	adadikompas	ada di kompas
10998	adafildankamibegadang	ada fil dan kamil begadang
10999	adatuh	ada itu
11000	adaloh	ada lo
11001	adala	adalah
11002	adatgorontalo	adat gorontalo
11003	adatnye	adatnya
11004	addmath	add math
11005	adik2	adik adik
11006	adekku	adikku
11007	akk	administrasi kebijakan kesehatan
11008	adren	adrenal
11009	adeuhh	aduh
11010	adh	aduh
11011	adih	aduh
11012	adohh	aduh
11013	aiish	aduh
11014	aish	aduh
11015	affu19indosiar	aff under 19 indosiar
11016	agkya	agaknya
11017	agkya3	agaknya
11018	agama2	agama agama
11019	agamaâ	agamanya
11020	agamax	agamanya
11021	agnostic	agnostik
11022	agunh	agung
11023	agung2in	agung agungkan
11024	ahy	agus harimurti yudhoyono
11025	achh	ah
11026	aghh	ah
11027	agiah	ah
11028	arhh	ah
11029	ahlu	ah lu
11030	ahsudalah	ah sudahlah
11031	ahhâ	aha
11032	aheruntukindonesia	aher untuk indonesia
11033	ajusshi	ahjussi
11034	ahlunnar	ahlun nar
11035	ahlussunah	ahlusunah
11036	ahlussunnah	ahlusunah
11037	aheryawan	ahmad heryawan
11038	ahoak	ahok
11039	ahoq	ahok
11040	ahokpastitumbang	ahok pasti tumbang
11041	ahokpecahbelahbangsa	ahok pecah belah bangsa
11042	ahogers	ahoker
11043	aisyah	aisya
11044	ajak2	ajak ajak
11045	ajakalah	ajaklah
11046	ajaran2	ajaran ajaran
11047	akbp	ajun komisaris besar polisi
11048	akp	ajun komisaris polisi
11049	akhir2	akhir akhir
11050	akhinya	akhirnya
11051	akhirx	akhirnya
11052	ahlikul	akhlak
11053	aqiqah	akikah
11054	akhen	aksen
11055	asesoris	aksesori
11056	aksi299	aksi 299
11057	aksi313jokowitakutlengser	aksi 313 jokowi takut lengser
11058	aksi2	aksi aksi
11059	aksibelaislan	aksi bela islam
11060	aksimaksa	aksi maksa
11061	aksinaga299	aksi naga 299
11062	aktingny	aktingnya
11063	aktifis	aktivis
11064	aktivisi	aktivis
11065	aktifitas	aktivitas
11066	aktivitasjokowi	aktivitas jokowi
11067	akutu	aku itu
11068	akutuh	aku itu
11069	akumaupresidenbaru	aku mau presiden baru
11070	akuseorangpendosa	aku seorang pendosa
11071	akuseruji	aku seruji
11072	akusisi	akuisisi
11073	akaun	akun
11074	akun2	akun akun
11075	akutansi	akuntansi
11076	akurr	akur
11077	akur2	akur akur
11078	acut	akut
11079	albanna	al banna
11080	alfathih	al fatih
11081	alfaatihah	al fatihah
11082	alfatihah	al fatihah
11083	alhabib	al habib
11084	aljufri	al jufri
11085	alkafirun	al kafirun
11086	almaidah	al maidah
11087	almaidah51	al maidah 51
11088	almusawa	al musawa
11089	alqaeda	al qaeda
11090	alalala	ala ala
11091	aelaah	alah
11092	ahelah	alah
11093	alaa	alah
11094	alaâ	alah
11095	alaah	alah
11096	alaahh	alah
11097	alambanten	alam banten
11098	alamsekitar	alam sekitar
11099	alamiyah	alamiah
11100	apamnya	alamnya
11101	alang2	alang alang
11102	alasan2	alasan alasan
11103	alasanbikinaksi	alasan bikin aksi
11104	alasannyaâ	alasannya
11105	alesanya	alasannya
11106	alqt	alat
11107	alutsista	alat utama sistem pertahanan
11108	alayy	alay
11109	alaikm	alaykum
11110	alemanâ	alemannya
11111	aleksis	alexis
11112	alfaadli	alfadli
11113	alhmdulillah	alhamdulillah
11114	alhamdulillahongkos	alhamdulillah ongkos
11115	aliâ	alia
11116	aliby	alibi
11117	aileen	alien
11118	aelien1stmensive	alien first mensive
11119	aline	alinea
11120	allaah	allah
11121	allahyarham	allah ya rahman
11122	alohmubarbar	allahmu barbar
11123	allahakbar	allahu akbar
11124	allahuakhbar	allahu akbar
11125	allahummagfirli	allahummaghfirli
11126	alumi	alumni
11127	alumni212	alumni 212
11128	alywafa	aly wafa
11129	aman2	aman aman
11130	amatin	amati
11131	amateur	amatir
11132	amstir	amatir
11133	amek	ambek
11134	ambivient	ambient
11135	ambik	ambil
11136	ambil2	ambil ambil
11137	ambisitercapai	ambisi tercapai
11138	ambis	ambisius
11139	amblass	amblas
11140	ambleg	amblek
11141	ambulan	ambulans
11142	amrik	amerika
11143	aminin	aminkan
11144	amiss	amis
11145	amitamit	amit amit
11146	amaroso	amoroso
11147	ampyuunn	ampun
11148	anakonda	anaconda
11149	anakk	anak
11150	aneuk	anak
11151	anak2ku	anak anak ku
11152	anakku	anakku
11153	anlisa	analisis
11154	analisaku	analisisku
11155	ancem2an	ancam ancaman
11156	antabur	ancuran tai burung
11157	andaa	anda
11158	andaâ	anda
11159	andalin	andalkan
11160	andiblz	andi balas
11161	andreopa	andre opa
11162	anehdidunia	aneh di dunia
11163	angan2	angan angan
11164	angeus	angelus
11165	anggep	anggap
11166	aggaran	anggaran
11167	apbd	anggaran pendapatan dan belanja daerah
11168	apbn	anggaran pendapatan dan belanja negara
11169	anggota2	anggota anggota
11170	anggotadpr	anggota dewan perwakilan rakyat
11171	anggotany	anggotanya
11172	angkatan45	angkatan 1945
11173	angkatan66	angkatan 1966
11174	angkatan98	angkatan 1998
11175	angkot	angkutan kota
11176	aniespresiden2019	anies presiden 2019
11177	aniessndi	anies sandi
11178	anime2	anime anime
11179	anismatta	anis matta
11180	ajgg	anjing
11181	ajig	anjing
11182	anjeeng	anjing
11183	anjenk	anjing
11184	anjiing	anjing
11185	anjingg	anjing
11186	anjinxx	anjing
11187	anjyng	anjing
11188	anying	anjing
11189	anzing	anjing
11190	anjing2	anjing anjing
11191	anjing2in	anjing anjingi
11192	anjay	anjir
11193	anjer	anjir
11194	anjiirr	anjir
11195	anjiritt	anjir
11196	anjy	anjir
11197	anjyr	anjir
11198	anshor	ansar
11199	antr	antar
11200	antarabangsa	antara bangsa
11201	ante	antek
11202	antek2	antek antek
11203	antek2nya	antek anteknya
11204	antekny	anteknya
11205	ateknya	anteknya
11206	anty	anti
11207	anti2ny	anti antinya
11208	antihoax	anti hoaks
11209	antijil	anti jaringan islam liberal
11210	antikomunis	anti komunis
11211	antisyiah	anti syiah
11212	antiterorisme	anti terorisme
11213	antitesa	antitesis
11214	antoncharliyan	anton charliyan
11215	antri	antre
11216	antrian	antrean
11217	anthropology	antropologi
11218	aoa	apa
11219	apakk	apa
11220	ape2	apa apa
11221	apa2an	apa apaan
11222	apa2in	apa apakan
11223	apadong	apa dong
11224	apakabss	apa kabar
11225	apkabar	apa kabar
11226	aplg	apa lagi
11227	aplgie	apa lagi
11228	apasalahnya	apa salahnya
11229	apaansi	apa sih
11230	apasi	apa sih
11231	apan	apaan
11232	apann	apaan
11233	apaandah	apaan deh
11234	apaka	apakah
11235	apkah	apakah
11236	apkh	apakah
11237	apain	apakan
11238	apalag	apalah
11239	apaapun	apapun
11240	aparat2	aparat aparat
11241	asn	aparatur sipil negara
11242	apelancau	ape lancau
11243	amsyong	apes
11244	appnya	aplikasinyya
11245	arab2an	arab araban
11246	arabislam	arab islam
11247	arahbaruindonesia	arah baru indonesia
11248	abritase	arbitrase
11249	aromatics	aromatik
11250	artine	artinya
11251	artiny	artinya
11252	aarze	arze
11253	asaan	asahan
11254	asall	asal
11255	asalbukanjokowi	asal bukan jokowi
11256	asbun	asal bunyi
11257	assalammualaikum	asalamualaikum
11258	assalamu	asalamualaikum
11259	adalnya	asalnya
11260	ashar	asar
11261	azas	asas
11262	asset	aset
11263	assets	aset
11264	aset2	aset aset
11265	asiangames2018	asian games 2018
11266	asiangameskita	asian games kita
11267	asymetric	asimetri
11268	assimilate	asimilasi
11269	asibg	asing
11270	asing2	asing asing
11271	asdep	asisten deputi
11272	aselik	asli
11273	asliserunya	asli serunya
11274	asongan2	asongan asongan
11275	appsi	asosiasi pedagang pasar seluruh indonesia
11276	assasin	assassin
11277	assassinations	assassination
11278	asstag	astaga
11279	astagfirllah	astagfirullah
11280	astagfirlloh	astagfirullah
11281	astagfiruloh	astagfirullah
11282	astaghfar	astagfirullah
11283	astaghfirullah	astagfirullah
11284	astaghfirullohal	astagfirullahal
11285	asuog	asu
11286	asuu	asu
11287	azu	asu
11288	asutolol	asu tolol
11289	asuan	asuhan
11290	asysyihaa	asy syifa
11291	aseeqq	asyik
11292	asekk	asyik
11293	asoy	asyik
11294	asyikk	asyik
11295	asik2	asyik asyik
11296	asyikm3nang	asyik menang
11297	attas	atas
11298	atarturk	ataturk
11299	atao	atau
11300	atheis	ateis
11301	atheist	ateis
11302	athies	ateis
11303	atheisdete	ateis mati
11304	attabrani	ath thabrani
11305	atlit	atlet
11306	atmajaya	atma jaya
11307	atongkepoh	atomg kepo
11308	antraksi	atraksi
11309	atur2	atur atur
11310	aulyaa	auliya
11311	ausi	australia
11312	aussie	australia
11313	aviaa	avia
11314	awaass	awas
11315	awakarin	awkarin
11316	ayak2	ayak ayak
11317	ayamkampus	ayam kampus
11318	ayamorr	ayamor
11319	ayashiyan	ayashiya
11320	ayat2	ayat ayat
11321	ayoh	ayo
11322	ayuh	ayo
11323	ayohbangsa	ayo bangsa
11324	ayoindonesia	ayo indonesia
11325	ayokedamraman	ayo ke dam raman
11326	ayokefestivalpesonabunaken	ayo ke festival pesona bunaken
11327	ayopenjarakan	ayo penjarakan
11328	ayutingting	ayu ting ting
11329	ayyub	ayub
11330	adzab	azab
11331	adzan	azan
11332	adzanin	azankan
11333	adzim	azim
11334	aziim	azim
11335	baa	ba
11336	baag	ba
11337	babihok	babi ahok
11338	babyy	baby
11339	bacakorankaltim	baca koran kalimantan timur
11340	baca2in	bacakan
11341	bacain	bacakan
11342	backstage	back stage
11343	backtocampus	back to campus
11344	bacod	bacot
11345	awakmu	badanmu
11346	baduy	badui
11347	badut2	badut badut
11348	bagaiamana	bagaimana
11349	bagmna	bagaimana
11350	bagia	bagian
11351	bagian2	bagian bagian
11352	bahanakan	bahan akan
11353	bahancoli	bahan coli
11354	bahalul	bahlul
11355	baek2in	baik baiki
11356	angst	bangsat
11357	akeh	banyak
11358	baggona	begitu
11359	ambisional	berambisi
11360	b2	berdua
11361	b4	berempat
11362	awek	cewek
11363	aras2en	enggan
11364	abiez	habis
11365	abizz	habis
11366	abisan	habisnya
11367	abisnya	habisnya
11368	ahahah	haha
11369	ahahahaha	haha
11370	ahahahahaha	haha
11371	ahhahahha	haha
11372	ajhakabahajha	haha
11373	baahahahahahahahahhahah	haha
11374	bahaha	haha
11375	allooww	halo
11376	alus	halus
11377	ancoor	hancur
11378	ancor	hancur
11379	ancur2	hancur hancur
11380	ancuran	hancuran
11381	ancurin	hancurkan
11382	anget2	hangat hangat
11383	angetin	hangatkan
11384	apuss	hapus
11385	atine	hatinya
11386	ads	iklan
11387	aipet	ipad
11388	aok	iya
11389	ancok	jancuk
11390	aki2	kakek kakek
11391	apankah	kapan kah
11392	adilan	keadilan
11393	awsum	keren
11394	arut	larut
11395	â maroko	maroko
11396	arep	mau
11397	backingin	melindungi
11398	angkrem	mengerami
11399	arulin	pada bermain
11400	accny	persetujuannya
11401	½ramayana	ramayana
11402	adolexcent	remaja
11403	ajach	saja
11404	ajadeh	saja deh
11405	ay	say
11406	aingpersibaingpolitik	saya persib saya politik
11407	agalanya	segalanya
11408	akrg	sekarang
11409	afternya	setelahnya
11410	amak	tikar
11411	aplot	unggah
11412	apdet	update
11413	que	aku
11414	qurâ	alquran
11415	qurra	alquran
11416	quranku	alquranku
11417	pimen	bagaimana
11418	piye	bagaimana
11419	pimensiv	bagaimana sih
11420	replyan	balasan
11421	pisann	banget
11422	rebutan	berebut
11423	rapopo	enggak apa apa
11424	raiso	enggak bisa
11425	raisin	enggak malu
11426	rausahmundurrausahwedi	enggak perlu mundur enggak perlu takut
11427	rauwisuwis	enggak selesai selesai
11428	raseneng	enggak suka
11429	rausa	enggak usah
11430	pilosofi	filosofi
11431	pitnah	fitnah
11432	poto	foto
11433	potonya	fotonya
11434	prustasi	frustrasi
11435	qizi	gizi
11436	pingn	ingin
11437	pinginnya	inginnya
11438	pidex	injak
11439	qabul	kabul
11440	qn	kan
11441	rein	kendali
11442	rantis	kendaraan taktis
11443	polda	kepolisian daerah
11444	polri	kepolisian republik indonesia
11445	polsek	kepolisian sektor
11446	qususi	khusus
11447	qishosjokowi	kisas jokowi
11448	qitaab	kitab
11449	qty	kuantitas
11450	quda	kuda
11451	quiz	kuiz
11452	quota	kuota
11453	qurban	kurban
11454	quote	kutipan
11455	plantaran	lantaran
11456	report	laporan
11457	reportnya	laporannya
11458	pisuhi	marahi
11459	promote	mempromosikan
11460	reti	mengerti
11461	realized	menyadari
11462	ping	merah muda
11463	pink	merah muda
11464	pink2	merah muda
11465	qizmin	miskin
11466	pngebetnya	ngebet
11467	qey	oke
11468	rlnya	pacarnya
11469	pqdahal	padahal
11470	pokcoy	pakcoy
11471	pmi	palang merah indonesia
11472	plmbng	palembang
11473	plestina	palestina
11474	pntas	pantas
11475	pnts	pantas
11476	praah	parah
11477	pkpi	partai keadilan dan persatuan indonesia
11478	pks	partai keadilan sejahtera
11479	pksbersamaulama	partai keadilan sejahtera bersama ulama
11480	pkskhawatir	partai keadilan sejahtera khawatir
11481	pkb	partai kebangkitan bangsa
11482	pkbnomorsatu	partai kebangkitan bangsa nomor satu
11483	pkc	partai komunis cina
11484	pki	partai komunis indonesia
11485	pkibukanindonesia	partai komunis indonesia bukan indonesia
11486	pkiklau	partai komunis indonesia kalau
11487	pni	partai nasional indonesia
11488	prd	partai rakyat demokratik
11489	psanganya	pasangannya
11490	pstikan	pastikan
11491	ptut	patut
11492	pns	pegawai negeri sipil
11493	pjs	pejabat sementara
11494	pjalan	pejalan
11495	pios	pekan ilmiah olahraga dan seni mahasiswa
11496	pkrja	pekerja
11497	psk	pekerja seks komersial
11498	pr	pekerjaan rumah
11499	pupr	pekerjaan umum dan perumahan rakyat
11500	pler	peler
11501	pulihara	pelihara
11502	pmain	pemain
11503	pmbangunan	pembangunan
11504	pmbngunan	pembangunan
11505	pmtb	pembentukan modal tetap bruto
11506	pmgang	pemegang
11507	pmrintah	pemerintah
11508	pmrnth	pemerintah
11509	pmrth	pemerintah
11510	prri	pemerintahan revolusioner republik indonesia
11511	rapist	pemerkosa
11512	pulkada	pemilihan kepala daerah
11513	pilpres	pemilihan presiden
11514	pilpres2019	pemilihan presiden 2019
11515	pmimpinnya	pemimpinnya
11516	pmpek	pempek
11517	pollingnya	pemungutan suaranya
11518	pinalti	penalti
11519	prnampilan	penampilan
11520	pndptn	pendapatan
11521	pnddikan	pendidikan
11522	plk	pendidikan layanan khusus
11523	pndkung	pendukung
11524	pndukung	pendukung
11525	pn	pengadilan negeri
11526	ptun	pengadilan tata usaha negara
11527	pngkuan	pengakuan
11528	pngangguran	pengangguran
11529	pngangkut	pengangkut
11530	pngndara	pengendara
11531	pngertian	pengertian
11532	pngikut	pengikut
11533	pollower	pengikut
11534	pngkhianat	pengkhianat
11535	pngunjung	pengunjung
11536	pwnu	pengurus wilayah nahdlatul ulama
11537	pnjg	penjaga
11538	pting	penting
11539	pnukaran	penukaran
11540	pointernya	penunjuknya
11541	pnyebar	penyebar
11542	provider	penyedia
11543	providernya	penyedianya
11544	prasaanku	perasaanku
11545	prepres	peraturan presiden
11546	prbedaan	perbedaan
11547	prcaya	percaya
11548	prcma	percuma
11549	prekonomian	perekonomian
11550	pmii	pergerakan mahasiswa islam indonesia
11551	ptkin	perguruan tinggi keagamaan islam negeri
11552	pmk	perhimpunan mahasiswa katolik
11553	pmkri	perhimpunan mahasiswa katolik republik indonesia
11554	priode	periode
11555	prkataan	perkataan
11556	prsamaan	persamaan
11557	pui	persatuan umat islam
11558	prsaudaraan	persaudaraan
11559	prosntasi	persentase
11560	ptfi	perseroan terbatas freeport indonesia
11561	ptpn	perseroan terbatas perkebunan nusantara
11562	prthankn	pertahankan
11563	prtama	pertama
11564	prshn	perusahaan
11565	pln	perusahaan listrik negara
11566	porut	perut
11567	pswat	pesawat
11568	picrk	picek
11569	pikiran2	pikiran pikiran
11570	pkrannya	pikirannya
11571	pikirin	pikirkan
11572	pikirqu	pikirku
11573	plh	pilih
11574	pilihgusipulmbakputi	pilih gus ipul mbak puti
11575	pilih2	pilih pilih
11576	plhn	pilihan
11577	pilgu	pilihan gubernur
11578	pilgub	pilihan gubernur
11579	pilgubjateng2018	pilihan gubernur 2018
11580	pilgubdki	pilihan gubernur daerah khusus ibukota
11581	pilgubjabar2018	pilihan gubernur jawa barat 2018
11582	pilgubjat3ngtanpahoax	pilihan gubernur jawa tengah tanpa hoaks
11583	pilgubsu2018	pilihan gubernur sumatera utara 2018
11584	pilkada	pilihan kepala daerah
11585	pilkada2018	pilihan kepala daerah 2018
11586	pilkadaacehselatan2018	pilihan kepala daerah aceh selatan 2018
11587	pilkadaâ berintegritas	pilihan kepala daerah berintegritas
11588	pilkadaâ deliserdang	pilihan kepala daerah deliserdang
11589	pilkadako	pilihan kepala daerah kota bogor
11590	pilkadakotabogo	pilihan kepala daerah kota bogor
11591	pilkadaâ langsung	pilihan kepala daerah langsung
11592	pilkadamalang	pilihan kepala daerah malang
11593	pilkadaseharusnyamemberikandampakpositif	pilihan kepala daerah seharusnya memberikan dampak positif
11594	pilkadaâ serentak	pilihan kepala daerah serentak
11595	pileg	pilihan legislatif
11596	pilihan2	pilihan pilihan
11597	pilihanprabowountukjabar	pilihan prabowo untuk jawa barat
11598	pilihanya	pilihannya
11599	pimred	pimpinan redaksi
11600	pinn	pin
11601	pinff	pinoy
11602	pintet	pintar
11603	pintar2	pintar pintar
11604	pinter2	pintar pintar
11605	pinternya	pintarnya
11606	piramid2	piramida piramida
11607	pisank	pisang
11608	pyjamas	piyama
11609	ps	play station
11610	psn	play station network
11611	playvictim	play victim
11612	pliss	please
11613	planga	plonga
11614	plenjas	plonga
11615	plongaplo	plonga plongo
11616	plongaplongo	plonga plongo
11617	plenjus	plongo
11618	pluralism	pluralisme
11619	ples	plus
11620	point2	poin poin
11621	poï	point of interest
11622	pojoksatu	pojok satu
11623	pokoknyah	pokoknya
11624	poll	pol
11625	poland	polandia
11626	polemikpemberantasanterorisme	polemik pemberantasan terorisme
11627	poly	poli
11628	poligamy	poligami
11629	poiisi	polisi
11630	polres	polisi resor
11631	polsis	polisi siswa
11632	polman	politeknik manufaktur negeri bandung
11633	politicianacademy	politician academy
11634	politicid	politik
11635	polhukam	politik hukum dan keamanan
11636	pilitiknya	politiknya
11637	politikâ	politiknya
11638	politisi2	politiknya
11639	politusi	politisi
11640	poling	polling
11641	plos	polos
11642	pondokleleaksanacirebon	pondok lele aksana cirebon
11643	ponpes	pondok pesantren
11644	populerb1	populer
11645	porn	porno
11646	portoflio	portofolio
11647	poskotanews	pos kota news
11648	positive	positif
11649	positiflugasdanmencerahkan	positif lugas dan mencerahkan
11650	poskojoin	posko join
11651	pospera	posko perjuangan rakyat
11652	posterdakwah	poster dakwah
11653	posting2	posting posting
11654	potongâ atasâ	potongan atas
11655	pp10sempurna	pp 10 sempurna
11656	ppforjokowi	pp for jokowi
11657	pre	pra
11658	prakemerdekaan	pra kemerdekaan
11659	prakhotbah	pra khotbah
11660	praun	pra ujian nasional
11661	prabon	prabowo
11662	prabowo2periode	prabowo 2 periode
11663	prabowoanismatta	prabowo anis matta
11664	prabocor	prabowo bocor
11665	prabowoforpresiden2019	prabowo for presiden 2019
11666	prabowogagalmoveon	prabowo gagal move on
11667	prabowountukindonesia	prabowo untuk indonesia
11668	praketik	praktik
11669	praktekan	praktikan
11670	prakteknya	praktiknya
11671	pratyay	pratyaya
11672	prayformahasiswaui	pray for mahasiswa ui
11673	prayforrohingya	pray for rohingya
11674	prediksinggrisjuarapd2018	prediksi inggris juara pada 2018
11675	premiosmt	premios mt
11676	pstmt	prepared statement
11677	plesiden	presiden
11678	presid	presiden
11679	preside	presiden
11680	presidens	presiden
11681	president	presiden
11682	presuden	presiden
11683	prsiden	presiden
11684	presiden2019	presiden 2019
11685	presidenabadi	presiden abadi
11686	presidenâ soeharto	presiden soeharto
11687	presidentnya	presidennya
11688	presidenya	presidennya
11689	pt20langgarkonstitusi	presidential threshold langgar konstitusi
11690	prestasli	prestasi
11691	prestasiny	prestasinya
11692	preet	pret
11693	pref	pret
11694	prett	pret
11695	pri	pria
11696	pribumu	pribumi
11697	princes	princess
11698	prinsip2	prinsip prinsip
11699	println	print
11700	print130k	print 130 ribu
11701	prioriti	prioritas
11702	procina	pro cina
11703	prokorupt	pro koruptor
11704	problem2	problem problem
11705	provo	proco
11706	ploduk	produk
11707	produ	produk
11708	product	produk
11709	prukades	produk unggulan kawasan perdesaan
11710	produktifitas	produktivitas
11711	produktifitasnya	produktivitasnya
11712	podusen	produsen
11713	producer	produser
11714	professional	profesional
11715	professor	profesor
11716	profile	profil
11717	prog	program
11718	program16	program 16
11719	program18	program 18
11720	program8	program 8
11721	pkh	program keluarga harapan
11722	pkhsupergusipulputi	program keluarga harapan super gus ipul puti
11723	proker	program kerja
11724	pkm	program kreativitas mahasiswa
11725	program2	program program
11726	progran2	program program
11727	prodi	program studi
11728	progresi	progres
11729	progressive	progresif
11730	projo	promo
11731	promosiin	promosikan
11732	property	properti
11733	protection	proteksi
11734	protek	proteksi
11735	protestant	protestan
11736	ptc	provides technology solutions
11737	prov	provinsi
11738	provokativ	provokatif
11739	provikator	provokator
11740	project	proyek
11741	proyek2	proyek proyek
11742	pru14	pru 14
11743	pseduo	pseudo
11744	psyco	psiko
11745	psychologist	psikolog
11746	puasin	puaskan
11747	public	publik
11748	puisigus	puisi gus
11749	puja2	puja puja
11750	pkul	pukul
11751	pulng	pulang
11752	pulangmengundi	pulang mengundi
11753	pulang2	pulang pulang
11754	pulangin	pulangkan
11755	pulað	pulau
11756	pulau2	pulau pulau
11757	pululan	pullulan
11758	polpen	pulpen
11759	puluhancina	puluhan cina
11760	punâ	punah
11761	pungli	pungutan liar
11762	pungutin	punguti
11763	punyo	punya
11764	purn	purna
11765	pwt	purwokerto
11766	poseng	pusing
11767	posing	pusing
11768	pusying	pusing
11769	rieutt	pusing
11770	puteeh	putih
11771	poetri	putri
11772	putus2	putus putus
11773	putusin	putuskan
11774	qias	qiyas
11775	quraisyh	quraisy
11776	rabbaniah	rabbaniyah
11777	rabbah	rabi
11778	rabbi	rabi
11779	rabbikuma	rabikuma
11780	rabuseru	rabu seru
11781	rasict	racist
11782	rasis	racist
11783	rada2	rada rada
11784	radenmas	raden mas
